x,y,z,
6.6795e-17,-2.84417e-12,0.0078125,
1.42218e-16,-3.8411e-12,0.0078125,
1.42218e-16,-3.8411e-12,0.0078125,
3.09759e-15,-5.65995e-11,0.0078125,
3.09759e-15,-5.65995e-11,0.0078125,
2.00959e-14,-7.07663e-10,0.0078125,
2.00959e-14,-7.07663e-10,0.0078125,
1.31373e-13,-2.63518e-09,0.0078125,
1.31373e-13,-2.63518e-09,0.0078125,
7.99826e-13,-1.21413e-08,0.0078125,
7.99826e-13,-1.21413e-08,0.0078125,
3.19771e-12,-6.58905e-08,0.0078125,
3.19771e-12,-6.58905e-08,0.0078125,
4.61732e-12,-1.31338e-07,0.0078125,
4.61732e-12,-1.31338e-07,0.0078125,
1.06847e-11,-2.53429e-07,0.0078125,
1.06847e-11,-2.53429e-07,0.0078125,
2.76956e-11,-7.52406e-07,0.0078125,
2.76956e-11,-7.52406e-07,0.0078125,
3.54828e-11,-1.46001e-06,0.0078125,
3.54828e-11,-1.46001e-06,0.0078125,
1.03954e-10,-2.90031e-06,0.0078125,
1.03954e-10,-2.90031e-06,0.0078125,
3.55334e-10,-7.59246e-06,0.0078125,
3.55334e-10,-7.59246e-06,0.0078125,
2.06204e-10,-1.91872e-05,0.0078125,
2.06204e-10,-1.91872e-05,0.0078125,
6.42865e-11,-3.75471e-05,0.0078125,
6.42865e-11,-3.75471e-05,0.0078125,
1.56391e-10,-4.72253e-05,0.0078125,
1.56391e-10,-4.72253e-05,0.0078125,
5.01847e-11,-5.3591e-05,0.0078125,
5.01847e-11,-5.3591e-05,0.0078125,
4.43332e-11,-0.000164074,0.0078125,
4.43332e-11,-0.000164074,0.0078125,
1.63939e-10,-0.000246211,0.0078125,
1.63939e-10,-0.000246211,0.0078125,
2.351e-10,-0.000312696,0.0078125,
2.351e-10,-0.000312696,0.0078125,
-1.02191e-30,8.58288e-14,0.0078125,
-1.23648e-18,8.87381e-10,0.0078125,
-1.23648e-18,8.87381e-10,0.0078125,
-1.04474e-16,1.59992e-08,0.0078125,
-1.04474e-16,1.59992e-08,0.0078125,
-4.7568e-16,1.89086e-07,0.0078125,
-4.7568e-16,1.89086e-07,0.0078125,
-3.19145e-15,4.86599e-07,0.0078125,
-3.19145e-15,4.86599e-07,0.0078125,
-3.5139e-15,1.69723e-06,0.0078125,
-3.5139e-15,1.69723e-06,0.0078125,
-1.72725e-15,1.8443e-06,0.0078125,
-1.72725e-15,1.8443e-06,0.0078125,
-1.4892e-15,1.90238e-06,0.0078125,
-1.4892e-15,1.90238e-06,0.0078125,
-1.48846e-15,1.87945e-06,0.0078125,
-1.48846e-15,1.87945e-06,0.0078125,
-6.83295e-16,2.20683e-06,0.0078125,
-6.83295e-16,2.20683e-06,0.0078125,
-6.54293e-16,2.13373e-06,0.0078125,
-6.54293e-16,2.13373e-06,0.0078125,
-6.72588e-16,2.14143e-06,0.0078125,
-6.72588e-16,2.14143e-06,0.0078125,
-5.93423e-16,2.45131e-06,0.0078125,
-5.93423e-16,2.45131e-06,0.0078125,
-3.38949e-16,2.47097e-06,0.0078125,
-3.38949e-16,2.47097e-06,0.0078125,
-4.85542e-16,2.77513e-06,0.0078125,
-4.85542e-16,2.77513e-06,0.0078125,
-1.68405e-15,6.18986e-06,0.0078125,
-1.68405e-15,6.18986e-06,0.0078125,
-3.50305e-16,3.64165e-05,0.0078125,
-3.50305e-16,3.64165e-05,0.0078125,
-2.66982e-13,9.92376e-05,0.0078125,
-2.66982e-13,9.92376e-05,0.0078125,
-7.60288e-13,7.24748e-05,0.0078125,
-7.60288e-13,7.24748e-05,0.0078125,
-5.08347e-12,0.000171684,0.0078125,
-5.08347e-12,0.000171684,0.0078125,
-1.61369e-11,0.000207577,0.0078125,
-1.61369e-11,0.000207577,0.0078125,
-1.34124e-11,0.000419514,0.0078125,
-1.34124e-11,0.000419514,0.0078125,
-4.28525e-12,0.000272061,0.0078125,
-4.28525e-12,0.000272061,0.0078125,
-6.8461e-14,0.00011718,0.0078125,
-6.8461e-14,0.00011718,0.0078125,
-1.86335e-13,8.77148e-05,0.0078125,
-1.86335e-13,8.77148e-05,0.0078125,
-3.62127e-13,3.13183e-05,0.0078125,
-3.62127e-13,3.13183e-05,0.0078125,
-4.15341e-14,4.77554e-05,0.0078125,
-4.15341e-14,4.77554e-05,0.0078125,
-3.78802e-16,4.4701e-05,0.0078125,
-3.78802e-16,4.4701e-05,0.0078125,
1.35687e-17,4.77409e-05,0.0078125,
1.35687e-17,4.77409e-05,0.0078125,
-7.19808e-19,5.34223e-05,0.0078125,
-7.19808e-19,5.34223e-05,0.0078125,
-7.10241e-22,7.79171e-05,0.0078125,
-7.10241e-22,7.79171e-05,0.0078125,
-3.47665e-20,0.000121848,0.0078125,
-3.47665e-20,0.000121848,0.0078125,
-2.06219e-16,0.000224948,0.0078125,
-2.06219e-16,0.000224948,0.0078125,
-4.30504e-14,0.000474955,0.0078125,
-4.30504e-14,0.000474955,0.0078125,
-1.21325e-11,0.00133335,0.0078125,
-1.21325e-11,0.00133335,0.0078125,
-5.38484e-11,0.00338028,0.0078125,
-5.38484e-11,0.00338028,0.0078125,
-4.0383e-11,0.00723846,0.0078125,
-4.0383e-11,0.00723846,0.0078125,
-7.61467e-11,0.0112129,0.0078125,
-7.61467e-11,0.0112129,0.0078125,
-1.32362e-10,0.0138834,0.0078125,
-1.32362e-10,0.0138834,0.0078125,
-1.29021e-10,0.0193179,0.0078125,
-1.29021e-10,0.0193179,0.0078125,
-3.16757e-09,0.0268881,0.0078125,
-3.16757e-09,0.0268881,0.0078125,
-1.39058e-08,0.0235923,0.0078125,
-1.39058e-08,0.0235923,0.0078125,
-1.18691e-08,0.00937706,0.0078125,
-1.18691e-08,0.00937706,0.0078125,
-6.17467e-08,0.00898629,0.0078125,
-6.17467e-08,0.00898629,0.0078125,
-1.35796e-07,0.0122791,0.0078125,
-1.35796e-07,0.0122791,0.0078125,
-9.06795e-08,0.0120686,0.0078125,
-9.06795e-08,0.0120686,0.0078125,
-1.01559e-07,0.0114387,0.0078125,
-1.01559e-07,0.0114387,0.0078125,
-1.39225e-07,0.00776614,0.0078125,
-1.39225e-07,0.00776614,0.0078125,
-1.77753e-07,0.00387948,0.0078125,
-1.77753e-07,0.00387948,0.0078125,
-2.6883e-07,0.00205856,0.0078125,
-2.6883e-07,0.00205856,0.0078125,
-1.53201e-07,0.000766441,0.0078125,
-1.53201e-07,0.000766441,0.0078125,
-1.4139e-07,0.00123308,0.0078125,
-1.4139e-07,0.00123308,0.0078125,
-1.98301e-07,0.00148667,0.0078125,
-1.98301e-07,0.00148667,0.0078125,
-2.50472e-07,0.00835969,0.0078125,
-2.50472e-07,0.00835969,0.0078125,
-2.95827e-07,0.0148644,0.0078125,
-2.95827e-07,0.0148644,0.0078125,
-3.66381e-07,0.0270946,0.0078125,
-3.66381e-07,0.0270946,0.0078125,
-5.47654e-07,0.0497613,0.0078125,
-5.47654e-07,0.0497613,0.0078125,
-9.37023e-07,0.073102,0.0078125,
-9.37023e-07,0.073102,0.0078125,
-1.36929e-06,0.0949475,0.0078125,
-1.36929e-06,0.0949475,0.0078125,
-1.84236e-06,0.178531,0.0078125,
-1.84236e-06,0.178531,0.0078125,
-5.18408e-06,0.206832,0.0078125,
-5.18408e-06,0.206832,0.0078125,
-5.68709e-06,0.315483,0.0078125,
-5.68709e-06,0.315483,0.0078125,
-1.26192e-05,0.929958,0.0078125,
-1.26192e-05,0.929958,0.0078125,
-2.68959e-05,1.40582,0.0078125,
-2.68959e-05,1.40582,0.0078125,
-3.69039e-05,0.945245,0.0078125,
-3.69039e-05,0.945245,0.0078125,
-2.34461e-05,0.731105,0.0078125,
-2.34461e-05,0.731105,0.0078125,
-7.49576e-06,0.0738983,0.0078125,
-7.49576e-06,0.0738983,0.0078125,
-5.46563e-06,0.0819278,0.0078125,
-5.46563e-06,0.0819278,0.0078125,
-2.29782e-06,0.0708973,0.0078125,
-2.29782e-06,0.0708973,0.0078125,
-1.77278e-06,0.0595693,0.0078125,
-1.77278e-06,0.0595693,0.0078125,
-8.61928e-07,0.0307175,0.0078125,
-8.61928e-07,0.0307175,0.0078125,
-5.00277e-07,0.0286706,0.0078125,
-5.00277e-07,0.0286706,0.0078125,
-3.12951e-07,0.0185462,0.0078125,
-3.12951e-07,0.0185462,0.0078125,
-1.85205e-07,0.00716838,0.0078125,
-1.85205e-07,0.00716838,0.0078125,
-5.88529e-08,0.000938608,0.0078125,
-5.88529e-08,0.000938608,0.0078125,
-7.00722e-09,0.000136878,0.0078125,
-7.00722e-09,0.000136878,0.0078125,
-1.68775e-09,2.62642e-06,0.0078125,
-1.68775e-09,2.62642e-06,0.0078125,
-1.16099e-09,1.20828e-07,0.0078125,
-1.16099e-09,1.20828e-07,0.0078125,
-8.0914e-10,1.74232e-14,0.0078125,
-8.0914e-10,1.74232e-14,0.0078125,
2.64586e-20,1.09022e-14,0.0078125,
1.78966e-23,4.20385e-22,0.0078125,
1.78966e-23,4.20385e-22,0.0078125,
7.12833e-16,-3.1112e-22,0.0078125,
7.12833e-16,-3.1112e-22,0.0078125,
8.36261e-16,-1.23933e-14,0.0078125,
8.36261e-16,-1.23933e-14,0.0078125,
9.31527e-17,-2.40607e-13,0.0078125,
9.31527e-17,-2.40607e-13,0.0078125,
1.09707e-16,-2.38527e-13,0.0078125,
1.09707e-16,-2.38527e-13,0.0078125,
1.40632e-16,-2.39282e-13,0.0078125,
1.40632e-16,-2.39282e-13,0.0078125,
1.08916e-16,-5.26092e-13,0.0078125,
1.08916e-16,-5.26092e-13,0.0078125,
1.20309e-16,-5.58814e-13,0.0078125,
1.20309e-16,-5.58814e-13,0.0078125,
1.24817e-16,-6.22131e-13,0.0078125,
1.24817e-16,-6.22131e-13,0.0078125,
1.2976e-16,-8.9613e-13,0.0078125,
1.2976e-16,-8.9613e-13,0.0078125,
1.1754e-16,-8.56533e-13,0.0078125,
1.1754e-16,-8.56533e-13,0.0078125,
1.15948e-16,-6.3267e-13,0.0078125,
1.15948e-16,-6.3267e-13,0.0078125,
3.11087e-17,-1.80628e-13,0.0078125,
3.11087e-17,-1.80628e-13,0.0078125,
9.337e-17,-3.36332e-20,0.0078125,
9.337e-17,-3.36332e-20,0.0078125,
-2.65187e-28,2.38063e-19,0.0078125,
-2.65187e-28,2.38063e-19,0.0078125,
-3.46491e-16,1.5124e-15,0.0078125,
-3.46491e-16,1.5124e-15,0.0078125,
-1.19189e-14,1.58157e-15,0.0078125,
-1.19189e-14,1.58157e-15,0.0078125,
-9.92296e-13,2.92966e-10,0.0078125,
-9.92296e-13,2.92966e-10,0.0078125,
-2.91948e-11,2.35267e-09,0.0078125,
-2.91948e-11,2.35267e-09,0.0078125,
-6.47672e-11,1.69578e-08,0.0078125,
-6.47672e-11,1.69578e-08,0.0078125,
-8.0787e-10,1.17278e-07,0.0078125,
-8.0787e-10,1.17278e-07,0.0078125,
-1.69286e-09,3.4552e-07,0.0078125,
-1.69286e-09,3.4552e-07,0.0078125,
-3.19692e-09,2.71543e-06,0.0078125,
-3.19692e-09,2.71543e-06,0.0078125,
-8.14459e-09,4.11956e-06,0.0078125,
-8.14459e-09,4.11956e-06,0.0078125,
-3.08651e-08,3.30057e-06,0.0078125,
-3.08651e-08,3.30057e-06,0.0078125,
-5.7422e-08,2.17378e-06,0.0078125,
-5.7422e-08,2.17378e-06,0.0078125,
-1.01378e-07,4.51138e-06,0.0078125,
-1.01378e-07,4.51138e-06,0.0078125,
-2.23472e-07,4.59457e-05,0.0078125,
-2.23472e-07,4.59457e-05,0.0078125,
-3.57063e-07,0.000114748,0.0078125,
-3.57063e-07,0.000114748,0.0078125,
-4.8345e-07,0.000436223,0.0078125,
-4.8345e-07,0.000436223,0.0078125,
-8.35109e-07,0.000472262,0.0078125,
-8.35109e-07,0.000472262,0.0078125,
-1.77593e-06,0.00043099,0.0078125,
-1.77593e-06,0.00043099,0.0078125,
-2.03731e-06,0.000748931,0.0078125,
-2.03731e-06,0.000748931,0.0078125,
-2.38222e-06,0.000843915,0.0078125,
-2.38222e-06,0.000843915,0.0078125,
-2.48661e-06,0.000743565,0.0078125,
-2.48661e-06,0.000743565,0.0078125,
-2.96413e-06,0.000638421,0.0078125,
-2.96413e-06,0.000638421,0.0078125,
-1.76045e-06,0.00024374,0.0078125,
-1.76045e-06,0.00024374,0.0078125,
-5.95113e-07,9.19717e-05,0.0078125,
-5.95113e-07,9.19717e-05,0.0078125,
-1.2829e-07,1.09818e-05,0.0078125,
-1.2829e-07,1.09818e-05,0.0078125,
-3.94763e-08,5.76948e-08,0.0078125,
-3.94763e-08,5.76948e-08,0.0078125,
-5.22353e-09,2.29874e-07,0.0078125,
-5.22353e-09,2.29874e-07,0.0078125,
-1.89005e-09,7.89618e-09,0.0078125,
-1.89005e-09,7.89618e-09,0.0078125,
-2.55719e-10,5.50386e-14,0.0078125,
-2.55719e-10,5.50386e-14,0.0078125,
-5.57853e-12,-2.58607e-21,0.0078125,
-5.57853e-12,-2.58607e-21,0.0078125,
-1.22661e-11,-9.34186e-11,0.0078125,
-1.22661e-11,-9.34186e-11,0.0078125,
-8.76232e-12,-7.9802e-10,0.0078125,
-8.76232e-12,-7.9802e-10,0.0078125,
-1.08145e-11,-1.37528e-08,0.0078125,
-1.08145e-11,-1.37528e-08,0.0078125,
-7.93524e-12,-2.6107e-08,0.0078125,
-7.93524e-12,-2.6107e-08,0.0078125,
-5.00918e-12,-9.6685e-09,0.0078125,
-5.00918e-12,-9.6685e-09,0.0078125,
